seed_id,source,source_role,index_presence,index_check_method,index_check_date,retrieved_by_qa,retrieved_by_qd,query_version,metadata_verified,notes
indirect-prompt-injection-2023,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4388886073|https://openalex.org/W4321855128;qa=oa-qa-01|oa-qa-03|oa-qa-09;qd=oa-qd-01|oa-qd-03|oa-qd-09
toolemu-2023,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4387164935;qa=oa-qa-01|oa-qa-02|oa-qa-06;qd=oa-qd-01|oa-qd-02|oa-qd-06
injecagent-2024,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4402670146|https://openalex.org/W4392538073;qa=oa-qa-01|oa-qa-02|oa-qa-03|oa-qa-04|oa-qa-05|oa-qa-06|oa-qa-09;qd=oa-qd-01|oa-qd-02|oa-qd-03|oa-qd-04|oa-qd-05|oa-qd-06|oa-qd-09
agentdojo-2024,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4415796822;qa=oa-qa-03;qd=oa-qd-03
agentpoison-2024,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4415800619|https://openalex.org/W4403781307;qa=oa-qa-03|oa-qa-04|oa-qa-09;qd=oa-qd-03|oa-qd-04|oa-qd-09
asb-2024,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4403884175;qa=oa-qa-01|oa-qa-03|oa-qa-04|oa-qa-05|oa-qa-06;qd=oa-qd-01|oa-qd-03|oa-qd-04|oa-qd-05|oa-qd-06
agentharm-2024,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4403564213;qa=oa-qa-01|oa-qa-02|oa-qa-03|oa-qa-04|oa-qa-05|oa-qa-06;qd=oa-qd-01|oa-qd-02|oa-qd-03|oa-qd-04|oa-qd-05|oa-qd-06
progent-2025,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4416541023;qa=oa-qa-01|oa-qa-02|oa-qa-03|oa-qa-04|oa-qa-09;qd=oa-qd-01|oa-qd-02|oa-qd-03|oa-qd-04|oa-qd-09
saga-2025,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4415986067;qa=oa-qa-01|oa-qa-03|oa-qa-04|oa-qa-07|oa-qa-09;qd=oa-qd-01|oa-qd-03|oa-qd-04|oa-qd-07|oa-qd-09
mcp-attack-vectors-2025,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4414597551;qa=oa-qa-03;qd=oa-qd-03
agentsight-2025,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,true,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4414688275;qa=oa-qa-01|oa-qa-03;qd=oa-qd-01|oa-qd-03
prov-agent-2025,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,false,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W4414898436;qa=;qd=oa-qd-01
skillopt-2026,openalex,core-discovery,true,title.search exact normalized title,2026-08-21,false,true,1.3.1-pilot,partial,openalex_ids=https://openalex.org/W7162340582|https://openalex.org/W7162606456;qa=;qd=oa-qd-01|oa-qd-03
